#chr	start	end	value
rw10	27937982	27938402	6.04689446
rw10	28727578	28727925	6.14385619
rw10	28840602	28840925	5.587462841
rw10	28851934	28852212	6.752665432
rw10	2905594	2905860	6.227920455
rw10	2907724	2908195	6.241466986
rw10	29116078	29116415	6.979780264
rw10	29595270	29595505	2.892317423
rw10	29647411	29647689	7.062242424
rw10	29871096	29871501	6.979780264
rw10	29910891	29911170	4.669925001
rw10	29989807	29990057	7.114709844
rw10	30153719	30154140	3.629283017
rw10	30223953	30224309	7.451284715
rw10	30386925	30387413	6.848728154
rw10	30421731	30422155	6.382643049
rw10	30507018	30507310	6.287902559
rw10	30704530	30704762	5.629283017
rw10	30714800	30715387	6.991853096
rw10	30744686	30745095	6.261551232
rw10	30833934	30834136	6.424812504
rw10	30864392	30864700	5.465784285
rw10	30979185	30979538	6.158211483
rw10	30990848	30991201	6.724001674
rw10	3119508	3119660	5.465784285
rw10	3121368	3121749	6.287902559
rw10	31219228	31219626	7.158211483
rw10	31270451	31270709	6.771463028
rw10	31363906	31364159	6.394817763
rw10	31372444	31372653	6.294415866
rw10	31433182	31433765	5.909390936
rw10	31558469	31558855	6.332890014
rw10	31841783	31842220	5.917852515
rw10	32209282	32209431	3.084962501
rw10	32259649	32260144	4.991853096
rw10	32296908	32297098	3.629283017
rw10	32350060	32350419	5.639551352
rw10	32584949	32585321	5.909390936
rw10	32588785	32589031	6.077428828
rw10	32613599	32613866	6.345490051
rw10	33245397	33245621	6.412889336
rw10	3334826	3335259	5.227920455
rw10	33692709	33693128	6.738404739
rw10	33804245	33805338	3.084962501
rw10	34276016	34276426	6.3008999
rw10	34913411	34913746	6.165335917
rw10	35080902	35081304	6.613742166
rw10	35089314	35089741	6.092457037
rw10	35271309	35271688	3.892317423
rw10	35281891	35282129	6.12935662
rw10	35310536	35310912	9.035275377
rw10	35319326	35319695	5.555282436
rw10	35417542	35417833	6.227920455
rw10	35455744	35456058	6.320178962
rw10	35593244	35593572	2.821928095
rw10	35621624	35621950	6.587462841
rw10	35763361	35763544	2.747927513
rw10	35828370	35828640	6.382643049
rw10	35838153	35838585	7.224513853
rw10	35968078	35968500	3.629283017
rw10	36147888	36148302	3.926264755
rw10	36148709	36149044	4.522367813
rw10	36285864	36286283	6.922064766
rw10	36515035	36515400	6.376516947
rw10	36693889	36694160	3.254887502
rw10	367485	367841	4.114709844
rw10	368972	369468	5.999845887
rw10	36963409	36963619	5.099912842
rw10	3707986	3708258	6.830916878
rw10	3724353	3724582	7.165335917
rw10	37457097	37457365	4.709453366
rw10	38104922	38105333	6.122051819
rw10	38191065	38191406	3.959431619
rw10	38268373	38268848	5.866322214
rw10	38437752	38438170	5.659871337
rw10	38552429	38552937	2.892317423
rw10	38690940	38691153	4.689824559
rw10	38704084	38704393	2.959431619
rw10	38902393	38902812	6.639551352
rw10	39031865	39032063	4.803780748
rw10	392477	392861	6.04689446
rw10	411234	411488	5.598032083
rw10	413244	413437	5.069855608
rw10	42945331	42945956	4.821928095
rw10	43133497	43133781	6.598032083
rw10	43733394	43733621	5.608524457
rw10	43793816	43794072	6.704571144
rw10	43826177	43826442	6.015699838
rw10	43918116	43918604	3.991853096
rw10	43944363	43944511	4.406890596
rw10	43952969	43953365	5.186500527
rw10	44095371	44095680	6.909390936
rw10	44400281	44400538	6.165335917
rw10	44405768	44406054	6.505624549
rw10	44459379	44459666	7.313781191
rw10	44481859	44482262	6.709453366
rw10	44577224	44577610	5.268184325
rw10	44665603	44666092	7.320178962
rw10	44978569	44978941	6.062242424
rw10	44979962	44980638	3.084962501
rw10	44996920	44997256	3.709453366
rw10	45053204	45053632	7.448367232
rw10	45341182	45341578	6.771463028
rw10	45475944	45476318	7.084962501
rw10	45568247	45568741	5.803780748
rw10	45730935	45731267	5.023561956
rw10	45801548	45801877	7.039158811
rw10	45915929	45916105	6.376516947
rw10	46007036	46007486	5.64974712
rw10	46096392	46096715	6.031381461
rw10	46186325	46186846	7.354868383
rw10	46253234	46253497	5.357980995
rw10	46343123	46343355	3.254887502
rw10	46578427	46578875	4.875039431
rw10	46773225	46773633	3.785402219
rw10	46773688	46774051	5.345490051
rw10	46774689	46775105	5.039158811
rw10	46880852	46881288	6.107330314
rw10	46951330	46951652	6.27478706
rw10	46956059	46956481	6.629283017
rw10	47213312	47213711	3.892317423
rw10	47254025	47254851	6.424812504
rw10	47258026	47258357	5.172425342
rw10	47269959	47270268	3.669925001
rw10	47272815	47273360	5.587462841
rw10	47342290	47342489	5.069855608
rw10	47532108	47532429	4.821928095
rw10	47572126	47572424	6.888017285
rw10	47586957	47587292	7.058420713
rw10	47776818	47777031	5.857552005
rw10	48159104	48159413	3.307354922
rw10	48173343	48173799	5.794620749
rw10	48174862	48175328	4.991853096
rw10	48185408	48185756	3.254887502
rw10	48285146	48285359	5.747927513
rw10	48287454	48287954	5.477279923
rw10	48389294	48389784	7.538918989
rw10	48555614	48556116	7.023561956
rw10	4868490	4869121	6.592757141
rw10	48693749	48693933	6.983815777
rw10	48767907	48768261	4.892317423
rw10	48872128	48872419	5.64974712
rw10	48922635	48922949	4.357980995
rw10	48952571	48952942	3.785402219
rw10	48963423	48963786	5.332890014
rw10	48978900	48979210	3.45419631
rw10	48981755	48982300	5.926264755
rw10	49022921	49023250	4.991853096
rw10	49070598	49071034	5.983815777
rw10	49091916	49092229	4.669925001
rw10	49197315	49197830	5.766786541
rw10	49199754	49199942	6.477279923
rw10	49249161	49249555	5.934628228
rw10	493304	493627	6.853146825
rw10	49483239	49483640	6.709453366
rw10	49980217	49980439	6.214245518
rw10	49999111	49999345	6.776124405
rw10	5014808	5015127	5.892317423
rw10	50333221	50333459	3.709453366
rw10	50416157	50416413	6.394817763
rw10	50548227	50548441	2.587462841
rw10	50583901	50584448	7.088714636
rw10	50630616	50630984	3.747927513
rw10	50859498	50859903	6.412889336
rw10	50936902	50937113	4.892317423
rw10	50948338	50948773	6.015699838
rw10	5102900	5103288	6.639551352
rw10	51046343	51046522	3.406890596
rw10	51211016	51211395	4.669925001
rw10	51265160	51265466	3.959431619
rw10	51461319	51461734	5.382643049
rw10	51504878	51505256	6.261551232
rw10	51535278	51535616	5.830916878
rw10	51623018	51623231	6.45419631
rw10	51753258	51753630	5.241466986
rw10	51769496	51769886	5.442514505
rw10	5186398	5186833	6.549848549
rw10	52440604	52441034	6.448367232
rw10	52448249	52448493	6.477279923
rw10	52725880	52726131	4.544394119
rw10	5287306	5288655	2.669925001
rw10	52941042	52941332	2.5
rw10	53430223	53430514	3.200439718
rw10	537980	538426	7.231319031
rw10	53931530	53931865	4.942943496
rw10	5415536	5415768	6.533423002
rw10	5429671	5429947	6.424812504
rw10	55254726	55254978	3.200439718
rw10	56476487	56476689	2.5
rw10	56517045	56517285	3.821928095
rw10	5666566	5666991	7.050746785
rw10	57007540	57007687	4.72881869
rw10	5726583	5726919	6.388743249
rw10	57362101	57362375	5.172425342
rw10	58159357	58159524	4.406890596
rw10	58777170	58777565	7.210806434
rw10	6002381	6002644	6.320178962
rw10	60208282	60208641	6.294415866
rw10	6053533	6053890	6.896604781
rw10	61122151	61122521	6.465784285
rw10	6115095	6115450	6.64974712
rw10	61206384	61206688	3.747927513
rw10	61215414	61215744	5.821928095
rw10	61365522	61365882	3.821928095
rw10	61469956	61470206	6.158211483
rw10	61487434	61487614	6.3008999
rw10	61641759	61642393	6.533423002
rw10	6213258	6213487	5.477279923
rw10	62382008	62382335	6.96760555
rw10	6256152	6256459	5.866322214
rw10	62600730	62601023	5.934628228
rw10	62762718	62763052	6.684875343
rw10	6278906	6279325	6.689824559
rw10	62795733	62796042	5.794620749
rw10	6292165	6292342	6.424812504
rw10	633690	634157	4.477279923
rw10	63828163	63828314	5.254887502
rw10	64367470	64367895	3.926264755
rw10	64388609	64388991	6.785402219
rw10	64631740	64632124	6.95532722
rw10	64784940	64785283	6.151051691
rw10	64802621	64803030	6.522367813
rw10	64940577	64940868	5.382643049
rw10	65358461	65358688	3.084962501
rw10	65776827	65777276	5.214245518
rw10	65801114	65801528	6.511227255
rw10	65925813	65925979	5.200439718
rw10	67045701	67046011	6.482993575
rw10	68202668	68203055	6.424812504
rw10	68967775	68968174	6.107330314
rw10	68991692	68992018	5.64974712
rw10	69147747	69148494	5.241466986
rw10	69459736	69460177	5.069855608
rw10	69637115	69637517	5.268184325
rw10	69712332	69712623	6.639551352
rw10	69757686	69757913	7.161778098
rw10	69762862	69763297	6.400866808
rw10	70037471	70037692	5.669925001
rw10	70171827	70172229	4.254887502
rw10	70222984	70223234	6.107330314
rw10	70233457	70233744	6.45419631
rw10	70250199	70250499	4.785402219
rw10	70272080	70272354	5.909390936
rw10	703498	703899	4.629283017
rw10	70353398	70353697	5.00779464
rw10	70370728	70371069	5.709453366
rw10	70529399	70529727	4.227920455
rw10	70649721	70649929	6.587462841
rw10	70657722	70657979	6.281359714
rw10	70739689	70739992	6.015699838
rw10	70765169	70765675	7.023561956
rw10	70788051	70788383	6.477279923
rw10	70877298	70877602	6.639551352
rw10	71353302	71353611	6.505624549
rw10	71404802	71405212	6.922064766
rw10	71445101	71445426	6.357980995
rw10	71494969	71495180	6.522367813
rw10	71528661	71528862	6.136624621
rw10	71677653	71678040	5.442514505
rw10	71752768	71753633	5.56608919
rw10	71786597	71786878	6.875039431
rw10	71904370	71904771	6.527905997
rw10	72039021	72039376	6.835390355
rw10	72067401	72067851	7.27478706
rw10	72284576	72285028	6.031381461
rw10	72341628	72341954	5.477279923
rw10	72413035	72413389	7.084962501
rw10	72447454	72448020	3.357980995
rw10	72448093	72448612	3.200439718
rw10	72493337	72493792	6.394817763
rw10	72575513	72575871	6.23470962
rw10	72674951	72675205	7.00779464
rw10	72686391	72686824	6.905141463
rw10	72695956	72696239	7.63442632
rw10	72728972	72729481	6.951211112
rw10	72826350	72826728	7.382643049
rw10	72894453	72894775	7.151051691
rw10	73163265	73163580	6.092457037
rw10	732368	732586	6.752665432
rw10	73312563	73312891	6.951211112
rw10	7339321	7339542	6.5
rw10	73510150	73510507	6.448367232
rw10	73597682	73598125	6.592757141
rw10	73628676	73629510	6.268184325
rw10	73711900	73712162	6.412889336
rw10	73793816	73794341	7.313781191
rw10	73798606	73799029	6.80833903
rw10	73883044	73883409	6.12935662
rw10	74010964	74011124	5.522367813
rw10	74045984	74046237	6.963524373
rw10	74467021	74467402	4.64974712
rw10	74485045	74485404	6.80833903
rw10	74663682	74663925	6.151051691
rw10	74701446	74701626	6.268184325
rw10	7489263	7489465	5.099912842
rw10	74912808	74913014	5.766786541
rw10	74935831	74936254	6.959431619
rw10	7501972	7502297	6.67990909
rw10	75038455	75038737	6.766786541
rw10	75132366	75132727	5.587462841
rw10	75144198	75144474	6.062242424
rw10	75173274	75173748	6.654818109
rw10	75175472	75175900	6.307354922
rw10	75247953	75248268	6.659871337
rw10	75407676	75408042	6.471543554
rw10	7541933	7542417	4.332890014
rw10	75453251	75453600	6.151051691
rw10	75467756	75468178	6.418863237
rw10	75586968	75587435	7.27148947
rw10	75899373	75899698	6.527905997
rw10	75923985	75924409	6.63442632
rw10	75967577	75967864	6.67990909
rw10	76644836	76645021	5.054588852
rw10	76669795	76669961	5.069855608
rw10	76860101	76860360	6.482993575
rw10	76928928	76929075	4.054588852
rw10	77103646	77103961	6.5
rw10	77159342	77159708	7.227920455
rw10	77215871	77216105	6.45419631
rw10	78067388	78067595	6.5
rw10	78143208	78143407	2.747927513
rw10	78616624	78616798	6.527905997
rw10	78800897	78801225	3.023561956
rw10	78840167	78840556	5.054588852
rw10	79055342	79055691	4.909390936
rw10	79409920	79410134	7.154636029
rw10	79491930	79492496	6.684875343
rw10	79509064	79509284	4.669925001
rw10	79525132	79525390	6.254887502
rw10	79540635	79540959	7.268184325
rw10	79573439	79573629	7.12935662
rw10	79603785	79604207	6.382643049
rw10	79633051	79633415	5.689824559
rw10	79767051	79767278	5.951211112
rw10	79829951	79830166	5.382643049
rw10	79852000	79852883	2.892317423
rw10	80198815	80198996	6.084962501
rw10	80222468	80222866	6.934628228
rw10	80303720	80303986	6.376516947
rw10	80451441	80451675	5.999845887
rw10	80586428	80586764	6.424812504
rw10	80934633	80934911	6.67990909
rw10	80936220	80936452	7.203903573
rw10	80961741	80961977	5.268184325
rw10	80963054	80963811	7.388743249
rw10	8096602	8096750	4.857552005
rw10	80994977	80995354	7.062242424
rw10	81073509	81073875	7.140244936
rw10	81101148	81101662	5.00779464
rw10	81135198	81135950	7.241466986
rw10	81198240	81198440	6.24819285
rw10	81205582	81206006	5.294415866
rw10	81210189	81210348	5.555282436
rw10	81217219	81217646	6.505624549
rw10	81237713	81238137	6.207359132
rw10	81344038	81344397	5.926264755
rw10	81464194	81464448	5.64974712
rw10	81471536	81471957	5.875039431
rw10	81593808	81594036	5.522367813
rw10	81634639	81634862	4.64974712
rw10	81635088	81635531	6.494353437
rw10	81888196	81888535	6.963524373
rw10	81921683	81921953	5.821928095
rw10	82220429	82220813	7.186500527
rw10	82276209	82276645	6.892317423
rw10	82293002	82293622	4.054588852
rw10	82687076	82687292	6.5
