#rw	start	end	rv	start	end
rw11	60206747	60207438	rv11	60206307	60207516
rwX	11957227	11959429	rvX	11957286	11959362
rw8	129469389	129470592	rv8	129469385	129469896
rw6	153032285	153032948	rv6	153031878	153032911
rw2	192209337	192209620	rv2	192209197	192209574
rw7	37847039	37847556	rv7	37847082	37847527
rw7	30481957	30483968	rv7	30482599	30483702
rw6	156355448	156357495	rv6	156355542	156357065
rw4	72995247	72995656	rv4	72995103	72995674
rw3	132527762	132528696	rv3	132527216	132527778
rw16	14850401	14850703	rv16	14850248	14850579
rw16	16938943	16940369	rv16	16939063	16940301
rw15	72087221	72087573	rv15	72087308	72087563
rw7	107896753	107897012	rv7	107896721	107897027
rw10	33804256	33805338	rv10	33804244	33804894
rwX	51008611	51009284	rvX	51008579	51009272
rwX	106402477	106402747	rvX	106402155	106403108
rw11	7942112	7942567	rv11	7942135	7942544
rw1	247850754	247851579	rv1	247850805	247851399
rw17	3084609	3085210	rv17	3084543	3084957
rw9	125568672	125569145	rv9	125568531	125569085
rw11	50764072	50764293	rv11	50763865	50764529
rw15	102400382	102401017	rv15	102400387	102400976
rw1	533254	534387	rv1	533360	534065
rw16	46727817	46728148	rv16	46727794	46728261
rw3	190760975	190761969	rv3	190760929	190761412
rw11	7741126	7741773	rv11	7741084	7741487
rw5	6969491	6970034	rv5	6969569	6969864
rw4	76053184	76054064	rv4	76053209	76054017
rw3	122455519	122456076	rv3	122455852	122456070
rw10	102462757	102463129	rv10	102462803	102463081
rw4	137219163	137220790	rv4	137218371	137219402
rw13	33291254	33291766	rv13	33291206	33291850
rw3	73989761	73990036	rv3	73989722	73990014
rw10	3144157	3144441	rv10	3144132	3144572
rwX	53935322	53935534	rvX	53935295	53935533
rwX	71399414	71399839	rvX	71399332	71399823
rw11	384909	385916	rv11	385020	385696
rw5	41604016	41604266	rv5	41603998	41604220
rw5	9969	12089	rv5	9980	11828
rwX	114976920	114982628	rvX	114982235	114982619
rw7	102329325	102330093	rv7	102329174	102329700
rw7	76362766	76363258	rv7	76362412	76362886
rw6	105696804	105697362	rv6	105696707	105697183
rw1	42960349	42960719	rv1	42960289	42960631
rw1	149337473	149337933	rv1	149337347	149337796
rw4	6512983	6514521	rv4	6513179	6514002
rw21	43226144	43226643	rv21	43226156	43226600
rw5	122573677	122574295	rv5	122573679	122574230
rw5	144798569	144799684	rv5	144798756	144799222
rw17	64794486	64795818	rv17	64794406	64795619
rw2	68905571	68905777	rv2	68905309	68905830
rw5	177388170	177389209	rv5	177388218	177388706
rw13	20354682	20354930	rv13	20354644	20354978
rw9	96880129	96881880	rv9	96880335	96881140
rw11	18877902	18878174	rv11	18877697	18878175
rw11	87825521	87825677	rv11	87825454	87825855
rwX	103147615	103147981	rvX	103147584	103148275
rw5	131960770	131961126	rv5	131960705	131961019
rw11	36578328	36579080	rv11	36578309	36579032
rw2	86883074	86883946	rv2	86882519	86883584
rwX	106000181	106000743	rvX	106000165	106000597
rw1	1016024	1016637	rv1	1016037	1016369
rw3	79179182	79180490	rv3	79179412	79180073
rw18	18514050	18520412	rv18	18514012	18520414
rw21	33157038	33157676	rv21	33157064	33157626
rw11	62045479	62047765	rv11	62047374	62047740
rw7	12541121	12541657	rv7	12540991	12541768
rw2	166957061	166957679	rv2	166957207	166957671
rw12	132111012	132112319	rv12	132110860	132111607
rw9	17685895	17686541	rv9	17685998	17686521
rw1	87148820	87150463	rv1	87149111	87150448
rw2	109815755	109816620	rv2	109815751	109816352
rw2	206944	207698	rv2	207001	207533
rw7	96479196	96481993	rv7	96479879	96481395
rw21	44755891	44757171	rv21	44755866	44756081
rw11	35417588	35418190	rv11	35417652	35418119
rw6	160830413	160830675	rv6	160830064	160830649
rw5	128156191	128156671	rv5	128156246	128156547
rw4	103131236	103131765	rv4	103131286	103131577
rw5	33953714	33954121	rv5	33953100	33954114
rw13	30220138	30221782	rv13	30220202	30221090
rw4	139472392	139473080	rv4	139471448	139473059
rw12	21550520	21551063	rv12	21550621	21551010
rw16	29393638	29394353	rv16	29393613	29394325
rw3	63720538	63720891	rv3	63720603	63720862
rw15	45348154	45348460	rv15	45348061	45348430
rw3	137356379	137357336	rv3	137356641	137357213
rw16	1075018	1075721	rv16	1075158	1075711
rw2	231205079	231205652	rv2	231205182	231205556
rw2	229287020	229287371	rv2	229286771	229287598
rw8	46852023	46854743	rv8	46851997	46857216
rwX	61698213	61699624	rvX	61698189	61703150
rw5	136385042	136386325	rv5	136385402	136386008
rw1	153081815	153082037	rv1	153081780	153081960
rwX	154930366	154931926	rvX	154930444	154931240
rw5	121331779	121332564	rv5	121331720	121332416
rw1	121482965	121485497	rv1	121482620	121485498
rw20	42024730	42025349	rv20	42024773	42025223
rw8	135088005	135088951	rv8	135086123	135088405
rw5	172834218	172835797	rv5	172834605	172835514
rw7	89703747	89704317	rv7	89703557	89704373
rw16	29494975	29496646	rv16	29495553	29496354
rw22	24589280	24589610	rv22	24589317	24589601
rw1	119395447	119396877	rv1	119396058	119396819
rw1	168318083	168318939	rv1	168318189	168318822
rw8	54944443	54945025	rv8	54944510	54944878
rw9	27131320	27131677	rv9	27131309	27131668
rw4	182160340	182162954	rv4	182160337	182161929
rw11	78393368	78394324	rv11	78393009	78394802
rwX	107211465	107211734	rvX	107211307	107211739
rw3	141729525	141730221	rv3	141729389	141729786
rw15	39714799	39715864	rv15	39715323	39715813
rw18	71871844	71872132	rv18	71871869	71872085
rw3	132669291	132670739	rv3	132668844	132670077
rw16	8108045	8109102	rv16	8107941	8108702
rw12	126788309	126789583	rv12	126787219	126788980
rwX	119428002	119428311	rvX	119427936	119428421
rwX	154750604	154751659	rvX	154750616	154751637
rw17	75773040	75773739	rv17	75773131	75773548
rw6	41098132	41098741	rv6	41098140	41098725
rw2	12662768	12663544	rv2	12662848	12663530
rw5	180876073	180878638	rv5	180876108	180876769
rw11	49126329	49127591	rv11	49126957	49127587
rw11	4641480	4642148	rv11	4641485	4642014
rw5	897526	899938	rv5	898894	899931
rwX	54944053	54944247	rvX	54944017	54944272
rw2	20031360	20031919	rv2	20031343	20031897
rw18	54196686	54197281	rv18	54196706	54197199
rw2	181701595	181703256	rv2	181702443	181703159
rwX	143407635	143408607	rvX	143407727	143408340
rw20	62579710	62580157	rv20	62579853	62580116
rw16	21846004	21847770	rv16	21846224	21847180
rw18	106411	111627	rv18	106686	111542
rw4	9215025	9215989	rv4	9215035	9215985
rw4	9219757	9220771	rv4	9219537	9220588
rw4	9217133	9219629	rv4	9217156	9218870
rw4	9324678	9325752	rv4	9324673	9325843
rw4	9325806	9329800	rv4	9326960	9327759
rw2	85860722	85861261	rv2	85860795	85861194
rwY	13842574	13843151	rvY	13842572	13842886
rwX	154392556	154392863	rvX	154392622	154392833
rw7	49724832	49725897	rv7	49723719	49725198
rw2	224807272	224807523	rv2	224807253	224807574
rwX	117534920	117535374	rvX	117534977	117535337
rw12	122431967	122432836	rv12	122432258	122432797
rw17	6097173	6097768	rv17	6097036	6097799
rw10	111577468	111578208	rv10	111577578	111578113
rw9	89222536	89223308	rv9	89222495	89223069
rw10	31696637	31696955	rv10	31696565	31697214
rw19	36783417	36800222	rv19	36783462	36800020
rw6	28041939	28042279	rv6	28041847	28042310
rw19	44914556	44915826	rv19	44914377	44915837
rw18	32789134	32789822	rv18	32789086	32789944
rw19	44368674	44369045	rv19	44368657	44368874
rw19	36760567	36783252	rv19	36777569	36781970
rw7	61967102	61971466	rv7	61967108	61971455
rw2	185812981	185813990	rv2	185812611	185813173
rw7	76039258	76039676	rv7	76039197	76039540
