#chr	start	end	value	options
rw15	81099408	81149175	9.6	stroke_color=red
rw2	186827480	186849170	9.6	stroke_color=red
rw3	39232520	39259464	9.6	stroke_color=red
rw6	63275951	63567921	9.6	stroke_color=red
rw9	88113637	88179227	9.6	stroke_color=red
rw1	46843095	46900475	9.7	stroke_color=red
rw1	85062298	85133138	9.7	stroke_color=red
rw10	133011764	133015765	9.7	stroke_color=red
rw11	637305	640706	9.7	stroke_color=red
rw7	104328656	104908558	9.7	stroke_color=red
rw18	45723756	45752520	9.8	stroke_color=red
rw19	44002925	44013926	9.8	stroke_color=red
rw2	172735279	173052893	9.8	stroke_color=red
rw3	139935185	140568077	9.8	stroke_color=red
rw8	100572882	100663410	9.8	stroke_color=red
rw10	84231520	84246493	9.9	stroke_color=red
rw11	32035979	32041318	9.9	stroke_color=red
rw4	90039614	90074847	9.9	stroke_color=red
rw7	15611212	15686683	9.9	stroke_color=red
rw1	26051304	26067634	10	stroke_color=red
rw15	92471654	92501117	10	stroke_color=red
rw16	55846154	55956031	10	stroke_color=red
rw17	43778391	43784842	10	stroke_color=red
rw3	114293986	114310288	10	stroke_color=red
rw6	127438406	127459390	10	stroke_color=red
rw16	66754411	66801620	10.1	stroke_color=red
rw1	247681165	247683938	10.2	stroke_color=red
rw2	164897745	164955560	10.2	stroke_color=red
rw3	62123423	62124718	10.2	stroke_color=red
rw4	70195726	70204576	10.2	stroke_color=red
rw6	7326654	7389709	10.2	stroke_color=red
rw9	22446841	22452473	10.2	stroke_color=red
rw5	135946911	135955034	10.3	stroke_color=red
rw17	39868164	39877896	10.4	stroke_color=red
rw3	129397210	129397348	10.4	stroke_color=red
rw1	204198160	204214092	10.5	stroke_color=red
rw19	57719747	57727627	10.5	stroke_color=red
rw2	46727075	46728012	10.5	stroke_color=red
rw2	11658178	11670203	10.5	stroke_color=red
rw20	11266659	11273383	10.5	stroke_color=red
rw9	97926791	97944915	10.5	stroke_color=red
rw9	87844517	87847764	10.5	stroke_color=red
rw9	66900729	66921653	10.5	stroke_color=red
rw10	99782598	99852576	10.6	stroke_color=red
rw11	118658232	118679690	10.6	stroke_color=red
rw2	10056799	10080411	10.6	stroke_color=red
rw2	240954617	240967451	10.6	stroke_color=red
rw3	87259633	87276587	10.6	stroke_color=red
rw4	5189718	5203914	10.6	stroke_color=red
rw5	75068297	75236887	10.6	stroke_color=red
rw6	29373423	29375291	10.6	stroke_color=red
rw16	75473124	75495434	10.7	stroke_color=red
rw21	17819595	18267373	10.7	stroke_color=red
rw5	95652181	95683010	10.7	stroke_color=red
rw6	123803837	124825640	10.7	stroke_color=red
rw11	2163929	2172137	10.8	stroke_color=red
rw5	135930317	135941678	10.8	stroke_color=red
rw5	3596054	3601403	10.8	stroke_color=red
rw6	49960292	49964105	10.8	stroke_color=red
rw1	235131183	235161616	10.9	stroke_color=red
rw12	25107057	25195162	10.9	stroke_color=red
rw16	86286431	86293389	10.9	stroke_color=red
rw22	30554635	30574588	10.9	stroke_color=red
rw3	146192335	146251179	10.9	stroke_color=red
rw5	146339024	146340520	10.9	stroke_color=red
rw8	11761256	11763223	10.9	stroke_color=red
rw14	93347191	93348354	11	stroke_color=red
rw19	38251237	38256591	11	stroke_color=red
rw2	227610090	227633320	11	stroke_color=red
rw2	95691153	95692215	11	stroke_color=red
rw20	63253978	63261615	11	stroke_color=red
rw5	141135206	141138127	11	stroke_color=red
rw7	123452181	123534664	11	stroke_color=red
rw7	150991056	151014599	11	stroke_color=red
rw15	79960890	79971301	11.1	stroke_color=red
rw19	6426037	6436267	11.1	stroke_color=red
rw2	87052749	87055359	11.1	stroke_color=red
rw1	42153421	42155824	11.2	stroke_color=red
rw15	58410754	58568874	11.2	stroke_color=red
rw19	4229302	4237542	11.2	stroke_color=red
rw2	99141722	99151487	11.2	stroke_color=red
rw22	22195799	22196276	11.2	stroke_color=red
rw3	108822784	108854867	11.2	stroke_color=red
rw6	132743870	132763459	11.2	stroke_color=red
rw2	38112991	38121988	11.3	stroke_color=red
rw20	23602410	23605973	11.3	stroke_color=red
rw4	784957	826157	11.3	stroke_color=red
rw4	99636529	99822027	11.3	stroke_color=red
rw1	197039191	197067267	11.4	stroke_color=red
rw1	182398117	182400616	11.4	stroke_color=red
rw11	22192513	22283367	11.4	stroke_color=red
rw11	27040705	27127807	11.4	stroke_color=red
rw11	55509638	55510762	11.4	stroke_color=red
rw12	5432114	5495299	11.4	stroke_color=red
rw19	11848530	11869491	11.4	stroke_color=red
rw20	7882984	7940446	11.4	stroke_color=red
rw6	113904387	113921642	11.4	stroke_color=red
rw8	109963636	109975734	11.4	stroke_color=red
rw8	93731500	93741012	11.4	stroke_color=red
rw1	109602906	109619662	11.5	stroke_color=red
rw1	153537147	153542175	11.5	stroke_color=red
rw15	90346527	90349447	11.5	stroke_color=red
rw16	66908122	66918984	11.5	stroke_color=red
rw3	151197754	151203222	11.5	stroke_color=red
rw4	161383892	162164034	11.5	stroke_color=red
rw6	38715332	39030798	11.5	stroke_color=red
rw6	148954259	148964684	11.5	stroke_color=red
rw8	93957338	93957691	11.5	stroke_color=red
rw9	98943348	99070792	11.5	stroke_color=red
rw11	67518947	67523614	11.6	stroke_color=red
rw2	96642711	96706220	11.6	stroke_color=red
rw7	12330883	12404226	11.6	stroke_color=red
rw11	5507300	5509985	11.7	stroke_color=red
rw16	67987390	68000611	11.7	stroke_color=red
rw16	2471499	2474145	11.7	stroke_color=red
rw17	50165975	50175932	11.7	stroke_color=red
rw18	25061924	25352250	11.7	stroke_color=red
rw2	203936731	203961579	11.7	stroke_color=red
rw7	29685154	29688243	11.7	stroke_color=red
rw9	134909585	134917960	11.7	stroke_color=red
rw20	13008979	13170944	11.8	stroke_color=red
rw4	77511753	77611834	11.8	stroke_color=red
rw6	27873148	27873511	11.8	stroke_color=red
rw6	64280910	64283473	11.8	stroke_color=red
rw11	624989	627240	11.9	stroke_color=red
rw17	16441226	16441298	11.9	stroke_color=red
rw6	26017032	26017812	11.9	stroke_color=red
rw17	28246454	28250834	12	stroke_color=red
rw19	15508484	15552317	12	stroke_color=red
rw3	37386269	37435497	12	stroke_color=red
rw4	55556523	55592268	12	stroke_color=red
rw5	39284275	39364553	12	stroke_color=red
rw6	26216920	26217483	12	stroke_color=red
rw7	107470057	107476212	12	stroke_color=red
rw8	40153468	40155308	12	stroke_color=red
rw1	157827071	157841844	12.1	stroke_color=red
rw1	109064376	109076002	12.1	stroke_color=red
rw10	122270828	122338161	12.1	stroke_color=red
rw17	40977716	40987139	12.1	stroke_color=red
rw2	233585439	233773299	12.1	stroke_color=red
rw3	17962572	18268922	12.1	stroke_color=red
rw11	95987997	95989129	12.2	stroke_color=red
rw18	49814023	49814443	12.2	stroke_color=red
rw18	49814023	49814443	12.2	stroke_color=red
rw2	102619689	102711350	12.2	stroke_color=red
rw2	136765562	137677717	12.2	stroke_color=red
rw3	50674969	51384198	12.2	stroke_color=red
rw1	47416072	47418052	12.3	stroke_color=red
rw5	161685652	161702592	12.3	stroke_color=red
rw8	144107726	144118315	12.3	stroke_color=red
rw9	133532164	133575519	12.3	stroke_color=red
rw11	94377311	94401419	12.4	stroke_color=red
rw11	134032272	134041341	12.4	stroke_color=red
rw12	14786478	14803467	12.4	stroke_color=red
rw17	38825392	38841500	12.4	stroke_color=red
rw19	37007813	37130324	12.4	stroke_color=red
rw3	71771655	71785206	12.4	stroke_color=red
rw5	7830378	7851490	12.4	stroke_color=red
rw3	51778561	51779773	12.5	stroke_color=red
rw8	118131828	118621995	12.5	stroke_color=red
rw1	151847101	151853697	12.6	stroke_color=red
rw11	120236640	120319945	12.6	stroke_color=red
rw12	10801532	10802627	12.6	stroke_color=red
rw16	798041	800733	12.6	stroke_color=red
rw16	3215562	3216546	12.6	stroke_color=red
rw16	21957540	22001127	12.6	stroke_color=red
rw19	54094668	54102686	12.6	stroke_color=red
rw1	26021741	26036464	12.7	stroke_color=red
rw10	37125742	37235831	12.7	stroke_color=red
rw12	21531527	21630773	12.7	stroke_color=red
rw16	90056566	90077339	12.7	stroke_color=red
rw20	63832609	63848312	12.7	stroke_color=red
rw4	41981696	41986467	12.7	stroke_color=red
rw1	12166949	12209222	12.8	stroke_color=red
rw11	69809968	69819424	12.8	stroke_color=red
rw12	12355408	12357067	12.8	stroke_color=red
rw16	29742463	29746329	12.8	stroke_color=red
rw17	15303811	15341889	12.8	stroke_color=red
rw4	186069155	186085098	12.8	stroke_color=red
rw5	76850001	76952882	12.8	stroke_color=red
rw8	58490178	58500959	12.8	stroke_color=red
rw10	111077032	111080907	12.9	stroke_color=red
rw15	99737425	99774638	12.9	stroke_color=red
rw19	6393250	6412404	12.9	stroke_color=red
rw5	140966162	141012344	12.9	stroke_color=red
rw9	94558714	94593832	12.9	stroke_color=red
rw1	203026521	203078736	13	stroke_color=red
rw12	46764761	46832422	13	stroke_color=red
rw21	42031463	42142996	13	stroke_color=red
rw6	108986437	109094505	13	stroke_color=red
rw14	94768223	94770162	13.1	stroke_color=red
rw16	58279997	58295047	13.1	stroke_color=red
rw19	12833934	12874953	13.1	stroke_color=red
rw2	94868685	94947342	13.1	stroke_color=red
rw2	121309996	121310416	13.1	stroke_color=red
rw3	50299889	50312419	13.1	stroke_color=red
rw6	159169397	159272108	13.1	stroke_color=red
rw6	34466061	34536262	13.1	stroke_color=red
rw6	10886831	10974309	13.1	stroke_color=red
rw7	122701666	122702967	13.1	stroke_color=red
rw9	21140632	21142145	13.1	stroke_color=red
rw1	157893622	157895688	13.2	stroke_color=red
rw13	50994511	51066157	13.2	stroke_color=red
rw17	78185102	78207701	13.2	stroke_color=red
rw17	40922696	40937643	13.2	stroke_color=red
rw19	16134028	16158575	13.2	stroke_color=red
rw3	141050795	141148611	13.2	stroke_color=red
rw4	70238306	70251432	13.2	stroke_color=red
rw6	27133038	27133535	13.2	stroke_color=red
rw6	25912754	25930726	13.2	stroke_color=red
rw1	115976498	116070054	13.3	stroke_color=red
rw17	9825543	9892104	13.3	stroke_color=red
rw19	49969655	49975819	13.3	stroke_color=red
rw19	37564253	37594792	13.3	stroke_color=red
rw2	224765090	225042613	13.3	stroke_color=red
rw4	48135783	48269797	13.3	stroke_color=red
rw11	5241954	5243592	13.4	stroke_color=red
rw19	56176020	56185775	13.4	stroke_color=red
rw2	79512934	80648868	13.4	stroke_color=red
rw5	140801198	141012344	13.4	stroke_color=red
rw5	147878711	147882193	13.4	stroke_color=red
rw8	132709945	132760712	13.4	stroke_color=red
rw12	10407384	10409757	13.5	stroke_color=red
rw12	128267403	128707915	13.5	stroke_color=red
rw16	165974	166768	13.5	stroke_color=red
rw16	75111860	75116772	13.5	stroke_color=red
rw19	13795434	13832254	13.5	stroke_color=red
rw20	46406768	46444971	13.5	stroke_color=red
rw21	45055877	45073903	13.5	stroke_color=red
rw21	20430400	20430762	13.5	stroke_color=red
rw5	141208719	141212126	13.5	stroke_color=red
rw1	44782045	44792828	13.6	stroke_color=red
rw1	170532122	170553834	13.6	stroke_color=red
rw12	133119969	133130473	13.6	stroke_color=red
rw19	17281645	17287646	13.6	stroke_color=red
rw19	14840948	14841877	13.6	stroke_color=red
rw19	14797568	14835376	13.6	stroke_color=red
rw19	43951223	43967600	13.6	stroke_color=red
rw2	170178145	170655164	13.6	stroke_color=red
rw22	45413691	45432422	13.6	stroke_color=red
rw3	194394821	194399266	13.6	stroke_color=red
rw4	139114733	139115539	13.6	stroke_color=red
rw7	56496223	56497284	13.6	stroke_color=red
rw7	128866410	128872047	13.6	stroke_color=red
rw7	98846488	98870050	13.6	stroke_color=red
rw19	6658135	6670588	13.7	stroke_color=red
rw4	40335329	40355217	13.7	stroke_color=red
rw4	5014586	5019470	13.7	stroke_color=red
rw1	18107746	18378484	13.8	stroke_color=red
rw10	81875309	82987179	13.8	stroke_color=red
rw12	43795764	44437808	13.8	stroke_color=red
rw17	41238018	41239004	13.8	stroke_color=red
rw2	64607312	64616482	13.8	stroke_color=red
rw5	141413176	141512979	13.8	stroke_color=red
rw6	79419879	79421659	13.8	stroke_color=red
rw10	43606407	43617904	13.9	stroke_color=red
rw17	32991864	32997874	13.9	stroke_color=red
rw20	62817062	62841159	13.9	stroke_color=red
rw3	36712422	36764204	13.9	stroke_color=red
rw7	6793859	6797028	13.9	stroke_color=red
rw13	43213130	43786980	14	stroke_color=red
rw17	53822878	53825212	14	stroke_color=red
rw19	39328357	39336086	14	stroke_color=red
rw2	231592864	231594283	14	stroke_color=red
rw22	19148991	19150283	14	stroke_color=red
rw5	169637247	170083382	14	stroke_color=red
rw5	132060654	132063203	14	stroke_color=red
rw14	100541398	100543122	14.1	stroke_color=red
rw15	25051476	25106603	14.1	stroke_color=red
rw19	35143250	35154302	14.1	stroke_color=red
rw2	90220908	90221382	14.1	stroke_color=red
rw20	63101292	63104385	14.1	stroke_color=red
rw4	89894876	89954629	14.1	stroke_color=red
rw12	92421531	92431002	14.2	stroke_color=red
rw19	15912370	15934866	14.2	stroke_color=red
rw1	247415904	247449108	14.3	stroke_color=red
rw1	74235387	74544432	14.3	stroke_color=red
rw12	72272580	72665644	14.3	stroke_color=red
rw16	87888019	87936569	14.3	stroke_color=red
rw16	66366622	66404786	14.3	stroke_color=red
rw17	4788422	4790592	14.3	stroke_color=red
rw17	76617774	76643838	14.3	stroke_color=red
rw19	50486560	50488086	14.3	stroke_color=red
rw22	23980028	23983915	14.3	stroke_color=red
rw4	121131408	121227609	14.3	stroke_color=red
rw6	24171755	24383292	14.3	stroke_color=red
rw10	123142421	123150672	14.4	stroke_color=red
rw11	77589635	77610356	14.4	stroke_color=red
rw11	55935456	55936400	14.4	stroke_color=red
rw12	564296	663741	14.4	stroke_color=red
rw12	120292199	120313242	14.4	stroke_color=red
rw19	17250021	17264796	14.4	stroke_color=red
rw19	56662652	56671783	14.4	stroke_color=red
rw2	74514469	74517148	14.4	stroke_color=red
rw5	141426286	141428258	14.4	stroke_color=red
rw8	109086342	109119584	14.4	stroke_color=red
rw8	35235457	35796550	14.4	stroke_color=red
rw9	213108	215893	14.4	stroke_color=red
rw1	62597487	62606305	14.5	stroke_color=red
rw17	18740223	18779349	14.5	stroke_color=red
rw18	10454628	10488701	14.5	stroke_color=red
rw19	35851635	35867146	14.5	stroke_color=red
rw19	36605305	36628597	14.5	stroke_color=red
rw2	237324012	237414370	14.5	stroke_color=red
rw5	97091870	97142816	14.5	stroke_color=red
rw5	100806935	100903285	14.5	stroke_color=red
rw1	185734381	186190953	14.6	stroke_color=red
rw1	156815750	156881850	14.6	stroke_color=red
rw18	65750252	65880939	14.6	stroke_color=red
rw18	66110545	66111996	14.6	stroke_color=red
rw2	218959628	218962155	14.6	stroke_color=red
rw3	167178425	167380405	14.6	stroke_color=red
rw4	106921802	107036296	14.6	stroke_color=red
rw6	56954975	57027652	14.6	stroke_color=red
rw6	26020490	26020958	14.6	stroke_color=red
rw7	141790217	141791366	14.6	stroke_color=red
rw9	132161652	132244534	14.6	stroke_color=red
rw9	133205279	133253397	14.6	stroke_color=red
rw11	118193727	118225094	14.7	stroke_color=red
rw12	6914450	6923696	14.7	stroke_color=red
rw14	24398786	24419288	14.7	stroke_color=red
rw16	2712418	2720578	14.7	stroke_color=red
rw7	142740235	142753076	14.7	stroke_color=red
rw7	142240737	142247067	14.7	stroke_color=red
rw9	27524314	27526498	14.7	stroke_color=red
rw15	77613024	77820900	14.8	stroke_color=red
rw2	27078567	27086404	14.8	stroke_color=red
rw3	54122593	55074557	14.8	stroke_color=red
rw3	10006418	10011095	14.8	stroke_color=red
rw4	16501534	16898809	14.8	stroke_color=red
rw8	106759483	106770244	14.8	stroke_color=red
rw12	102196459	102197836	14.9	stroke_color=red
rw12	133181409	133207112	14.9	stroke_color=red
rw16	180334	181179	14.9	stroke_color=red
rw19	18782773	18791305	14.9	stroke_color=red
rw2	231922095	231926389	14.9	stroke_color=red
rw8	11339637	11368452	14.9	stroke_color=red
rw1	86547076	86580758	15	stroke_color=red
rw14	23117306	23119985	15	stroke_color=red
rw2	47695881	47709696	15	stroke_color=red
rw6	26240426	26240793	15	stroke_color=red
rw11	124753123	124762327	15.1	stroke_color=red
rw11	118971543	118981285	15.1	stroke_color=red
rw11	2159779	2161209	15.1	stroke_color=red
rw11	19054455	19071978	15.1	stroke_color=red
rw13	96985719	96995826	15.1	stroke_color=red
rw14	73612296	73619908	15.1	stroke_color=red
rw15	57591904	57685364	15.1	stroke_color=red
rw16	66988589	67009758	15.1	stroke_color=red
rw17	41232463	41233454	15.1	stroke_color=red
rw19	8490055	8502654	15.1	stroke_color=red
rw2	232456112	232460745	15.1	stroke_color=red
rw2	185738628	185833290	15.1	stroke_color=red
rw2	47516574	47570331	15.1	stroke_color=red
rw5	153489696	153813873	15.1	stroke_color=red
rw6	31706907	31710595	15.1	stroke_color=red
rw12	54644591	54648493	15.2	stroke_color=red
rw12	1820267	1836753	15.2	stroke_color=red
rw13	61409685	61415522	15.2	stroke_color=red
rw19	35224801	35228725	15.2	stroke_color=red
rw19	5692219	5693257	15.2	stroke_color=red
rw2	73700509	73701340	15.2	stroke_color=red
rw2	196804415	196810276	15.2	stroke_color=red
rw4	15702950	15774190	15.2	stroke_color=red
rw10	49609095	49665104	15.3	stroke_color=red
rw10	114174442	114232669	15.3	stroke_color=red
rw11	62241630	62244812	15.3	stroke_color=red
rw12	14881181	14885919	15.3	stroke_color=red
rw13	50120837	50128457	15.3	stroke_color=red
rw2	219498865	219506996	15.3	stroke_color=red
rw8	27491002	27544922	15.3	stroke_color=red
rw9	127731524	127736377	15.3	stroke_color=red
rw16	675666	678271	15.4	stroke_color=red
