#rw	start	end	rv	start	end
rw19	47742010	47742419	rv19	47741932	47743716
rw4	122790642	122790862	rv4	122790626	122791096
rw17	58964336	58964679	rv17	58964033	58964921
rw1	85748666	85748916	rv1	85748461	85749223
rw2	60066050	60066323	rv2	60065842	60066668
rw12	12263393	12263783	rv12	12262551	12264919
rw19	45233489	45233967	rv19	45233317	45234316
rwX	39992823	39993133	rvX	39992358	39993161
rw11	27668719	27668966	rv11	27668472	27669142
rw4	42234923	42235155	rv4	42234723	42235495
rwX	102469175	102469416	rvX	102469021	102469604
rw6	8022844	8023143	rv6	8022687	8023263
rw15	45869338	45869789	rv15	45869278	45870037
rw6	7856857	7857136	rv6	7856626	7857381
rw7	33898847	33899126	rv7	33898841	33899227
rw7	33943228	33943548	rv7	33943212	33944392
rw3	112931078	112931504	rv3	112931074	112931846
rw13	73169364	73169691	rv13	73169282	73169853
rw17	65866932	65867121	rv17	65866796	65867561
rwY	25086299	25086490	rvY	25086098	25086702
rwY	25207548	25207854	rvY	25207382	25207961
rw7	140605609	140605880	rv7	140605441	140606222
rw13	32915773	32916195	rv13	32915604	32916399
rwX	80127663	80127947	rvX	80127584	80128053
rw12	92613609	92613935	rv12	92613545	92614131
rw2	111333911	111334405	rv2	111333782	111334419
rw6	105567809	105568110	rv6	105567781	105568184
rw2	201660673	201661003	rv2	201660552	201661226
rw10	50548227	50548441	rv10	50547993	50548672
rw11	47059764	47060168	rv11	47059154	47061500
rw11	62439647	62439999	rv11	62439479	62440700
rw11	66758584	66758861	rv11	66758410	66759195
rw12	53698670	53699042	rv12	53697423	53699192
rw12	105733888	105734272	rv12	105733309	105734444
rw14	104901362	104901911	rv14	104901182	104903205
rw15	40629265	40629509	rv15	40629490	40630355
rw15	40616665	40617118	rv15	40616348	40617161
rw15	39042028	39042236	rv15	39041802	39042391
rw16	73181340	73181717	rv16	73181094	73181879
rw16	85783968	85784338	rv16	85783063	85784473
rw16	58115349	58115863	rv16	58115037	58115927
rw16	26608076	26608389	rv16	26607918	26608682
rw17	51364816	51365188	rv17	51364701	51365231
rw17	21516750	21517163	rv17	21515402	21518175
rw17	42232187	42232447	rv17	42230638	42232547
rw18	43747407	43747812	rv18	43747122	43748385
rw19	11041690	11042020	rv19	11041438	11042751
rw1	220838570	220838861	rv1	220838365	220839102
rw1	57242619	57242887	rv1	57242489	57242969
rw1	186350325	186350800	rv1	186350225	186350937
rw1	156370294	156370684	rv1	156369845	156371472
rw1	226784322	226784674	rv1	226784142	226785046
rw17	43061850	43062520	rv17	43061347	43062776
rw17	43038892	43039281	rv17	43038590	43039497
rw17	77019987	77020376	rv17	77019659	77020558
rw20	3240752	3240931	rv20	3240495	3241167
rw12	22661780	22662070	rv12	22661713	22662233
rw2	209061201	209061474	rv2	209061131	209061549
rw2	190980114	190980351	rv2	190979983	190980606
rw2	191045012	191045413	rv2	191044829	191046093
rw3	144204381	144204787	rv3	144204261	144205097
rw4	100398047	100398330	rv4	100397903	100398535
rw4	186365147	186365469	rv4	186364973	186365513
rw4	2050069	2050383	rv4	2046842	2050525
rw4	2047941	2048295	rv4	2046842	2050525
rw6	32276112	32276322	rv6	32275783	32276598
rw6	164948460	164948710	rv6	164948222	164948867
rw6	170102252	170102663	rv6	170102311	170103249
rw6	43965312	43965871	rv6	43965404	43967281
rw7	48075592	48076016	rv7	48074689	48076164
rw7	112497125	112497428	rv7	112496982	112497587
rw7	47734569	47734875	rv7	47734387	47734951
rw7	26549010	26549225	rv7	26547406	26549564
rw7	26555569	26555840	rv7	26555262	26556680
rw8	69798223	69798444	rv8	69797960	69798610
rw8	69293642	69293986	rv8	69293568	69294174
rw9	89799096	89799420	rv9	89799065	89799460
rw9	97835151	97835724	rv9	97835260	97836329
rw9	27710124	27710433	rv9	27709898	27710531
rw9	16389443	16389674	rv9	16389205	16390213
rw9	16059518	16059886	rv9	16059169	16060028
rw17	50234426	50234833	rv17	50234523	50235732
rw17	58197621	58198080	rv17	58197756	58198774
rw22	24460839	24461380	rv22	24461305	24462247
rw1	201022589	201022900	rv1	201021957	201023267
rw3	50464003	50464386	rv3	50464066	50465985
rw12	1909545	1909769	rv12	1905923	1910831
rw17	64930579	64930826	rv17	64930356	64931018
rw8	91069184	91069522	rv8	91069053	91069635
rw12	54161807	54162068	rv12	54161465	54162248
rw7	71999612	71999992	rv7	71999449	72000257
rw5	149644701	149644863	rv5	149643826	149644951
rw10	75586968	75587435	rv10	75586555	75588215
rw3	49923550	49923886	rv3	49922848	49924224
rw1	200716901	200717112	rv1	200716633	200717284
rw12	67649883	67650283	rv12	67649755	67650465
rw12	67384467	67384806	rv12	67384432	67385205
rw6	17389043	17389295	rv6	17388726	17389473
rw6	17472353	17472590	rv6	17471638	17472626
rw7	116533206	116533504	rv7	116533065	116533561
rw22	37893620	37893948	rv22	37892233	37894015
rw16	8978249	8978818	rv16	8977551	8980390
rw15	44544400	44544827	rv15	44544143	44544876
rw5	95909752	95910058	rv5	95909710	95910115
rw19	5767654	5768012	rv19	5766659	5769260
rw18	69691364	69691707	rv18	69691265	69692002
rw18	69896825	69897108	rv18	69896674	69897216
rw21	37502566	37502884	rv21	37501932	37502994
rw12	54644284	54644523	rv12	54643999	54645530
rw22	39279643	39280097	rv22	39279580	39280251
rw22	39527139	39527722	rv22	39526900	39527745
rw5	179105802	179106132	rv5	179105117	179107305
rw5	114731396	114731584	rv5	114731268	114731711
rw16	58290945	58291147	rv16	58290822	58291569
rw7	128436795	128437197	rv7	128436677	128437223
rw2	223165902	223166241	rv2	223166062	223166685
rw2	197556860	197557151	rv2	197556282	197557448
rwX	133306503	133306886	rvX	133306603	133308034
rw9	100133257	100133638	rv9	100132977	100133740
rw12	48577369	48577734	rv12	48577146	48578896
rw8	27569794	27570027	rv8	27569593	27570235
rw19	46512036	46512270	rv19	46511188	46512271
rw11	32628578	32628922	rv11	32628346	32629136
rw16	66799558	66800051	rv16	66799393	66800278
rw2	56850170	56850434	rv2	56849974	56850551
rw11	6271926	6272169	rv11	6271569	6272316
rw16	57457884	57458122	rv16	57457593	57458309
rw16	2443004	2443365	rv16	2442756	2443431
rw5	162782781	162783231	rv5	162782568	162783392
rw4	91382222	91382597	rv4	91382103	91382660
rw4	91941536	91941783	rv4	91941394	91941971
rwY	20989942	20990156	rvY	20989807	20990390
rw12	6907367	6907712	rv12	6907070	6907758
rw1	117078214	117078443	rv1	117077972	117078583
rw17	62005772	62006080	rv17	62005594	62008958
rw6	14523971	14524217	rv6	14523714	14524436
rw2	87016334	87016769	rv2	87015862	87019143
rw22	37964352	37964578	rv22	37963401	37965835
rw17	71328494	71328788	rv17	71328356	71329000
rw5	130618342	130618777	rv5	130618257	130619084
rw22	19505921	19506180	rv22	19505396	19507220
rw6	44613492	44613747	rv6	44613176	44614011
rw6	44380516	44380796	rv6	44380410	44381026
rw17	38444873	38445110	rv17	38444647	38445458
rw3	45174961	45175231	rv3	45174818	45175286
rw5	22191679	22191920	rv5	22191566	22192381
rw6	21192250	21192636	rv6	21192069	21192745
rw6	20936481	20936824	rv6	20936290	20936946
rw11	2903123	2903490	rv11	2902952	2904844
rwY	27705798	27706061	rvY	27705737	27706353
rw6	4947459	4947824	rv6	4945583	4948493
rw19	43034453	43034759	rv19	43034135	43035109
rw10	9972859	9973156	rv10	9972650	9973310
rw10	9747093	9747419	rv10	9747034	9747547
rw4	67537943	67538228	rv4	67537427	67538464
rw16	80960572	80960993	rv16	80960374	80961697
rw6	119107126	119107521	rv6	119107093	119107675
rw12	50552808	50553052	rv12	50552669	50553202
rw19	859663	859967	rv19	859263	860349
rw16	75425717	75425912	rv16	75425541	75425981
rw22	24111483	24111836	rv22	24110438	24111957
rw7	132506525	132506788	rv7	132506377	132506899
rw3	126552570	126552899	rv3	126552420	126552990
rw1	6218711	6219052	rv1	6218524	6220060
rw1	6180705	6181084	rv1	6180378	6182348
rw7	29273439	29273787	rv7	29273217	29274016
rw11	46413474	46413845	rv11	46413765	46414920
rw16	75568748	75569048	rv16	75568106	75570107
rw15	101628554	101629268	rv15	101629047	101629860
rw10	101969900	101970170	rv10	101969733	101970323
rw19	45823468	45823664	rv19	45822864	45823907
rw19	45826207	45826635	rv19	45824655	45827286
rw2	122338751	122339129	rv2	122338756	122339311
rw3	33612625	33612870	rv3	33612388	33613345
rw1	86882474	86882756	rv1	86882195	86882918
rw11	67139020	67139407	rv11	67138987	67140373
rw16	74461234	74461416	rv16	74461223	74461945
rw16	74446712	74447468	rv16	74445838	74448255
rw16	74444124	74444636	rv16	74440383	74445434
rw16	74442457	74443111	rv16	74440383	74445434
rw12	9886845	9887180	rv12	9886942	9887959
rw4	141326311	141326633	rv4	141326227	141326781
rw4	10611683	10611893	rv4	10611461	10612113
rw4	10899053	10899387	rv4	10898943	10899772
rw11	72066992	72067368	rv11	72066882	72067612
rw19	6363072	6363502	rv19	6363346	6365495
rw19	45476419	45476642	rv19	45474866	45476749
rw12	7310499	7310771	rv12	7307942	7310988
rw8	27424716	27425205	rv8	27425054	27425622
rw5	78985333	78985546	rv5	78985302	78986549
rw16	58684574	58684990	rv16	58683940	58684997
rw2	68530057	68530306	rv2	68529741	68530406
rw2	68546095	68546477	rv2	68545404	68546962
rw19	40728510	40728748	rv19	40727917	40729618
rw9	34566165	34566508	rv9	34565157	34567088
rw9	34565340	34565790	rv9	34565157	34567088
rw9	34568775	34569248	rv9	34567808	34569296
rw9	34554264	34554476	rv9	34553419	34555958
rw12	41299725	41300031	rv12	41299538	41300186
rw12	41400888	41401120	rv12	41400703	41401328
rw3	1059030	1059295	rv3	1058846	1059422
rw20	61954032	61954344	rv20	61953609	61954501
rw7	7542369	7542602	rv7	7542191	7542756
rw2	228141960	228142107	rv2	228141520	228142312
rw3	48604064	48604378	rv3	48603282	48605358
rw3	48605846	48606151	rv3	48605646	48609872
rw3	99415835	99416105	rv3	99415681	99416257
rw18	406288	406672	rv18	405951	406810
rw19	19011242	19011657	rv19	19007790	19012413
rw3	196858493	196858767	rv3	196858323	196858886
rw18	3897810	3898047	rv18	3897643	3898281
rw1	46956423	46956863	rv1	46956100	46957606
rw19	46285358	46285775	rv19	46284583	46285992
rw10	70222984	70223234	rv10	70222602	70223486
rw7	21649481	21649652	rv7	21649372	21649996
rw1	225261620	225261993	rv1	225261045	225262308
rw2	84947433	84947894	rv2	84947243	84947975
rw17	11557392	11557610	rv17	11557329	11557716
rw2	220149273	220149681	rv2	220149179	220151622
rw1	78457824	78458072	rv1	78457666	78458306
rw16	30205583	30206061	rv16	30205351	30207483
rw15	68993695	68993868	rv15	68991710	68994517
rw6	75957840	75958130	rv6	75957728	75958278
rw2	42618766	42619116	rv2	42618654	42619187
rw5	85273458	85273867	rv5	85273294	85274028
rw4	166421255	166421569	rv4	166421199	166421785
rw15	83275116	83275544	rv15	83274941	83275773
rw5	175298765	175299001	rv5	175298800	175300466
rw3	193985970	193986266	rv3	193985155	193986814
rw3	131462662	131462842	rv3	131462557	131462901
rw3	131354702	131354921	rv3	131354458	131355132
rw12	39158150	39158383	rv12	39157888	39158612
rw15	78615031	78615517	rv15	78614101	78615911
rw16	1711449	1711653	rv16	1710522	1711918
rw1	197318967	197319201	rv1	197318822	197319416
rw9	126108345	126108725	rv9	126108289	126110446
rw9	126081637	126082311	rv9	126081127	126082395
rw19	6465627	6465903	rv19	6465616	6467123
rw19	4170211	4170613	rv19	4170062	4171140
rw14	105943812	105944188	rv14	105941085	105947241
rw7	86917348	86917753	rv7	86917607	86918656
rw19	18845240	18845624	rv19	18845273	18848333
rw19	18846873	18847291	rv19	18845273	18848333
rw15	91174037	91174287	rv15	91173779	91174662
rw19	48342743	48343129	rv19	48342322	48343340
rw7	151136823	151137273	rv7	151135683	151138156
rw12	56696490	56696740	rv12	56696583	56698020
rw12	53564702	53565078	rv12	53564499	53565583
rw22	38812012	38812414	rv22	38811491	38813896
rw15	64618953	64619373	rv15	64618342	64619541
rwX	119906944	119907195	rvX	119906819	119907403
rw7	143979061	143979694	rv7	143978987	143979933
rw12	58238710	58239006	rv12	58238410	58239380
rw1	70946204	70946545	rv1	70946182	70946623
rw5	11339054	11339283	rv5	11339012	11339387
rw10	35271309	35271688	rv10	35271211	35271747
rw7	101646469	101646618	rv7	101645735	101646908
rw3	39327865	39328168	rv3	39327669	39328303
rw2	137052316	137052658	rv2	137052220	137052795
rw5	139030062	139030396	rv5	139028991	139031148
rw2	72364923	72365141	rv2	72364836	72365856
rw2	219646692	219647143	rv2	219646186	219647504
rw12	58158701	58158960	rv12	58158014	58160150
rw14	59545322	59545628	rv14	59545241	59545671
rw9	124517758	124518269	rv9	124516005	124519714
rw6	168713742	168713998	rv6	168713531	168714285
rw3	49563008	49563336	rv3	49562810	49563704
rw11	61456549	61456936	rv11	61454575	61457416
rwY	25899575	25899787	rvY	25899384	25899848
rwY	26089527	26089834	rvY	26089447	26089909
rw17	42826291	42826817	rv17	42826697	42827618
rw7	44068929	44069406	rv7	44067162	44069561
rw7	44070108	44070711	rv7	44069825	44071900
rw7	44096317	44096709	rv7	44096177	44100823
rw1	100678536	100678939	rv1	100678605	100679543
rw18	49543395	49543668	rv18	49543288	49543849
rw18	50966201	50966448	rv18	50965952	50966562
rw13	36729223	36729404	rv13	36728885	36729527
rw2	74609897	74610222	rv2	74609537	74610341
rw8	30103494	30103904	rv8	30103565	30105715
rwX	110743778	110744118	rvX	110743705	110744248
rw22	24278951	24279154	rv22	24278584	24279692
rw2	15751037	15751393	rv2	15751109	15753426
rw12	31223024	31223255	rv12	31222883	31223475
rw22	38900960	38901229	rv22	38900795	38901332
rw1	112302314	112302616	rv1	112302166	112302733
rwY	15140931	15141233	rvY	15140767	15141338
rw6	74104627	74104977	rv6	74104059	74105560
rw12	113613298	113613594	rv12	113612071	113613778
rw20	29518251	29518934	rv20	29515496	29521246
rw20	29632277	29632514	rv20	29631938	29632559
rw1	153910820	153911191	rv1	153908256	153911231
rw11	9285144	9285425	rv11	9284177	9285569
rw15	89057068	89057381	rv15	89056847	89057641
rw8	145550490	145551062	rv8	145550759	145553432
rw22	19025376	19025650	rv22	19024858	19027774
rw17	54912271	54912691	rv17	54911700	54912732
rw3	186029573	186029893	rv3	186029448	186030108
rw7	137243826	137244039	rv7	137243480	137244281
rw1	55326325	55326612	rv1	55326181	55326780
rw3	95116244	95116523	rv3	95116069	95116623
rw3	94885269	94885554	rv3	94885149	94885652
rw3	94757625	94757874	rv3	94757451	94757974
rw3	94261222	94261485	rv3	94261042	94261671
rw16	72042910	72043414	rv16	72042926	72043993
rw1	12601439	12601900	rv1	12599755	12602113
rw2	39071510	39071788	rv2	39071433	39071831
rw17	40228247	40228780	rv17	40228130	40228845
rw10	22062781	22063068	rv10	22062667	22063201
rw7	102962065	102962318	rv7	102961723	102962583
rw13	96342499	96342986	rv13	96342552	96344497
rw1	65768210	65768468	rv1	65768040	65768655
rw19	11359984	11360252	rv19	11359968	11360827
rw9	200091	200419	rv9	200029	200582
rw7	153748510	153748940	rv7	153748027	153750668
rw12	64062332	64062694	rv12	64061717	64063617
rw8	95763208	95763588	rv8	95763019	95764159
rw5	146832556	146832819	rv5	146831865	146833020
rw5	146781942	146782146	rv5	146781716	146782408
rw12	102298203	102298542	rv12	102297899	102298728
rw11	65687848	65688173	rv11	65687405	65689864
rw6	116693243	116693603	rv6	116693185	116693778
rw20	30456813	30457000	rv20	30456158	30457419
rw12	89744514	89744837	rv12	89744318	89745124
rw3	52072146	52072541	rv3	52071491	52073237
rw11	103329765	103330035	rv11	103329600	103330870
rw11	103330401	103330710	rv11	103329600	103330870
rw15	55721650	55721962	rv15	55721112	55722047
rw6	20339668	20339885	rv6	20339259	20339996
rw1	236594943	236595246	rv1	236594822	236595372
rw5	84699093	84699288	rv5	84698920	84699482
rw13	78594058	78594481	rv13	78594018	78594679
rw6	74263978	74264226	rv6	74263834	74264488
rw20	62118211	62118730	rv20	62117619	62122383
rw3	128112399	128112865	rv3	128111998	128113305
rw3	128751785	128752112	rv3	128751405	128752200
rw1	155084337	155084715	rv1	155084538	155085468
rw1	155097295	155097671	rv1	155096758	155099441
rw1	155039035	155039435	rv1	155038027	155039608
rw12	53397197	53397761	rv12	53396845	53397986
rw3	71802522	71802951	rv3	71801870	71803041
rw8	37909106	37909448	rv8	37909034	37909744
rw9	24015554	24015763	rv9	24015261	24015949
rw22	37844743	37845163	rv22	37844584	37845748
rw7	73477644	73478036	rv7	73474213	73479028
rw7	73424411	73424733	rv7	73423570	73425929
rw1	80690305	80690633	rv1	80690099	80690719
rw10	119313271	119313611	rv10	119312340	119313938
rw13	44155255	44155570	rv13	44155116	44155814
rw13	44295500	44295690	rv13	44295428	44295955
rw13	44380385	44380654	rv13	44380226	44381044
rw22	41494316	41494623	rv22	41494239	41494787
rw22	41559056	41559511	rv22	41558988	41559866
rw6	131236186	131236442	rv6	131235913	131236603
rw7	37971460	37971727	rv7	37971285	37971761
rw1	16498166	16498400	rv1	16497479	16501144
rw4	66846052	66846300	rv4	66845869	66846507
rw4	66396748	66397083	rv4	66396638	66397212
rw9	34457513	34458058	rv9	34456917	34458075
rw12	110166729	110167081	rv12	110167025	110170755
rw1	17044106	17044315	rv1	17042900	17047278
rw1	17032076	17033039	rv1	17030125	17035561
rw1	16999543	17000036	rv1	16999092	17000668
rw1	17000891	17001230	rv1	17000822	17001377
rw3	58701861	58702153	rv3	58701694	58702426
rw10	120874922	120875133	rv10	120874760	120875726
rw6	82351397	82351690	rv6	82351063	82351782
rwX	79597204	79597479	rvX	79597129	79597647
rw10	126320152	126320548	rv10	126319369	126321725
rw16	30040867	30041211	rv16	30039749	30043570
rw12	31476456	31476866	rv12	31476529	31477519
rw9	139609252	139609882	rv9	139607483	139618838
rw8	124194590	124194993	rv8	124194094	124195936
rw2	14349880	14350245	rv2	14349733	14350348
rw8	124765275	124765518	rv8	124765096	124765710
rw16	85394634	85394839	rv16	85393685	85396159
rw2	33957178	33957484	rv2	33956974	33957596
rw11	22506486	22506788	rv11	22506344	22506947
rw2	59019566	59019781	rv2	59019393	59020087
rw14	45614984	45615248	rv14	45614647	45615523
rw13	98917598	98917874	rv13	98917427	98918169
rw4	187795529	187795950	rv4	187795656	187796081
rw19	8210448	8210745	rv19	8210179	8211466
rw16	30934929	30935414	rv16	30935081	30936138
rw17	37526730	37527054	rv17	37526214	37527643
rw6	99383386	99383690	rv6	99383238	99383820
rw8	124518590	124518883	rv8	124518301	124519111
rw6	52941901	52942149	rv6	52941866	52942385
rw1	120890248	120890530	rv1	120889969	120890893
rw5	72344772	72345010	rv5	72344591	72345296
rw17	72862904	72863161	rv17	72861631	72863905
rw8	125005384	125005707	rv8	125005242	125005898
rw9	95705356	95705871	rv9	95705861	95706981
rw13	102659109	102659355	rv13	102659019	102659496
rw13	103046416	103046645	rv13	103046437	103047462
rw1	59789938	59790267	rv1	59789871	59791268
rw9	133833974	133834346	rv9	133833871	133834567
rw2	165026497	165026772	rv2	165026307	165027091
rw12	52241422	52242154	rv12	52241942	52243675
rw12	52219266	52219697	rv12	52219010	52220031
rw3	99785365	99785644	rv3	99785268	99785805
rw19	18642787	18643010	rv19	18640574	18645851
rw7	32993215	32993508	rv7	32992963	32993868
rw11	128564785	128565069	rv11	128563674	128565444
rw17	18153246	18153436	rv17	18153434	18158331
rw19	7938296	7938614	rv19	7937050	7939031
rw3	58035293	58035709	rv3	58035698	58036118
rw13	28673664	28673946	rv13	28673939	28675304
rw13	28665385	28665641	rv13	28665323	28666246
rwX	146595082	146595325	rvX	146594948	146595458
rw6	159652077	159652426	rv6	159652096	159652470
rw11	71861374	71861914	rv11	71861432	71861961
rw2	28660046	28660486	rv2	28660210	28660720
rw15	60296058	60296293	rv15	60296069	60298078
rw1	63524388	63524679	rv1	63524234	63524903
rw1	23084418	23084855	rv1	23084201	23084994
rw1	226006564	226006920	rv1	226006411	226007329
rw17	19089896	19090243	rv17	19089194	19090589
rw21	40038453	40038892	rv21	40038420	40039070
rw7	64647500	64648047	rv7	64647232	64648385
rw7	64576649	64576936	rv7	64576462	64577009
rw19	53499699	53499975	rv19	53499492	53501483
rw8	27662520	27662840	rv8	27662388	27662957
rw12	53668936	53669223	rv12	53667517	53669382
rw1	217482567	217482813	rv1	217482358	217483067
rw19	44033082	44033409	rv19	44033300	44034045
rw12	22866125	22866494	rv12	22865750	22866635
rw12	23097567	23097826	rv12	23097457	23098064
rw1	204102663	204103113	rv1	204102495	204103822
rw21	40246240	40246523	rv21	40246061	40246838
rw21	40344230	40344614	rv21	40343980	40344879
rw19	36133289	36133570	rv19	36132382	36133812
rw12	11994737	11995016	rv12	11994546	11995259
rw2	176947866	176948441	rv2	176947608	176949284
rw1	11138344	11138640	rv1	11138094	11138773
rw11	108497058	108497425	rv11	108496929	108497694
rw16	74751826	74752237	rv16	74751765	74753468
rw20	821057	821427	rv20	821137	822771
rw8	58965365	58965700	rv8	58965119	58965875
rw11	58809317	58809584	rv11	58809222	58809638
rw5	153382679	153383141	rv5	153382551	153383186
rw15	86385886	86386082	rv15	86385721	86386416
rw5	137022578	137022984	rv5	137022473	137023594
