#rv	start	end	rw	start	end
rv20	39791044	39791457	rw20	39790899	39793103
rv7	132418385	132418716	rw7	132418679	132419555
rv16	72283531	72283771	rw16	72283387	72283881
rv7	102297684	102298221	rw7	102296637	102298965
rv7	102319612	102320066	rw7	102319765	102320378
rv11	45123208	45124070	rw11	45122601	45124598
rv1	3097107	3097431	rw1	3096674	3099589
rv1	84699631	84700000	rw1	84699914	84700744
rv13	56232298	56232686	rw13	56232125	56232698
rv13	114879111	114879510	rw13	114877579	114880062
rv12	124042311	124042733	rw12	124042676	124043544
rv5	179393631	179394003	rw5	179393597	179394180
rv7	156315505	156315938	rw7	156315305	156317108
rv20	35824293	35824627	rw20	35824331	35826401
rv2	243160426	243160791	rw2	243160340	243160953
rv9	137168728	137169151	rw9	137167969	137174625
rv3	38591794	38592076	rw3	38591471	38593276
rv9	131435757	131436138	rw9	131435615	131437420
rv12	132210093	132210394	rw12	132209653	132210449
rv15	49212242	49212644	rw15	49212129	49212651
rv7	95747711	95748106	rw7	95747748	95748346
rv7	5294297	5294610	rw7	5290925	5294805
rv7	5293792	5294106	rw7	5290925	5294805
rv5	484209	484591	rw5	481091	485814
rv8	82754582	82754809	rw8	82754373	82755002
rv13	112670023	112670419	rw13	112668958	112670518
rv2	5140918	5141193	rw2	5141169	5141962
rv8	55285709	55286066	rw8	55285693	55286540
rv7	75137347	75137661	rw7	75137059	75137946
rv7	101989607	101990169	rw7	101987896	101991737
rv1	121410293	121410869	rw1	121410220	121410908
rv20	46536295	46536499	rw20	46535779	46536602
rv16	28662759	28663012	rw16	28662629	28663497
rv22	32921451	32921729	rw22	32921295	32921797
rv22	33041361	33041565	rw22	33041096	33041649
rv2	161711840	161712200	rw2	161712072	161713431
rv2	101671006	101671184	rw2	101670434	101671704
rv20	55171695	55171985	rw20	55171036	55172191
rv9	82114267	82114600	rw9	82114135	82115646
rv2	1493974	1494289	rw2	1493357	1494759
rv7	74949235	74949927	rw7	74949833	74950713
rv10	134731433	134731787	rw10	134726002	134732266
rv11	89051053	89051388	rw11	89051170	89052637
rv9	34227741	34228189	rw9	34227854	34229028
rvX	56722492	56723046	rwX	56722239	56723291
rv7	158877790	158878201	rw7	158877740	158878934
rv7	366435	366674	rw7	363948	366852
rv3	22029676	22030034	rw3	22030030	22030833
rv7	57008967	57009385	rw7	57007668	57009896
rv12	124519463	124519738	rw12	124519152	124519924
rv7	63095658	63096076	rw7	63095006	63097447
rv3	103280689	103281187	rw3	103280727	103281552
